service_id,date,exception_type
20182011multiint-1111100,20180801,1
20182011multiint-0001100,20180802,1
20182011multiint-1111100,20180802,1
20182011multiint-0000100,20180803,1
20182011multiint-0001100,20180803,1
20182011multiint-1111100,20180803,1
20182511multiint-0000010,20180804,1
20182611multiint-0000001,20180805,1
20182011multiint-1111100,20180806,1
20182011multiint-1111100,20180807,1
20182011multiint-1111100,20180808,1
20182011multiint-0001100,20180809,1
20182011multiint-1111100,20180809,1
20182011multiint-0000100,20180810,1
20182011multiint-0001100,20180810,1
20182011multiint-1111100,20180810,1
20182511multiint-0000010,20180811,1
20182611multiint-0000001,20180812,1
20182011multiint-1111100,20180813,1
20182011multiint-1111100,20180814,1
20182011multiint-1111100,20180815,1
20182011multiint-0001100,20180816,1
20182011multiint-1111100,20180816,1
20182011multiint-0000100,20180817,1
20182011multiint-0001100,20180817,1
20182011multiint-1111100,20180817,1
20183511multiint-0000010,20180818,1
20183611multiint-0000001,20180819,1
20183012multiint-1111100,20180820,1
20183012multiint-1111100,20180821,1
20183012multiint-1111100,20180822,1
20183012multiint-0001100,20180823,1
20183012multiint-1111100,20180823,1
20183012multiint-0000100,20180824,1
20183012multiint-0001100,20180824,1
20183012multiint-1111100,20180824,1
20183511multiint-0000010,20180825,1
20183611multiint-0000001,20180826,1
20183012multiint-1111100,20180827,1
20183012multiint-1111100,20180828,1
20183012multiint-1111100,20180829,1
20183012multiint-0001100,20180830,1
20183012multiint-1111100,20180830,1
20183012multiint-0000100,20180831,1
20183012multiint-0001100,20180831,1
20183012multiint-1111100,20180831,1
20183511multiint-0000010,20180901,1
20183611multiint-0000001,20180902,1
20183611multiint-0000001,20180903,1
20183011multiint-1111100,20180904,1
20183011multiint-1111100,20180905,1
20183011multiint-0001100,20180906,1
20183011multiint-1111100,20180906,1
20183011multiint-0000100,20180907,1
20183011multiint-0001100,20180907,1
20183011multiint-1111100,20180907,1
20183511multiint-0000010,20180908,1
20183611multiint-0000001,20180909,1
20183011multiint-1111100,20180910,1
20183011multiint-1111100,20180911,1
20183011multiint-1111100,20180912,1
20183011multiint-0001100,20180913,1
20183011multiint-1111100,20180913,1
20183011multiint-0000100,20180914,1
20183011multiint-0001100,20180914,1
20183011multiint-1111100,20180914,1
20183511multiint-0000010,20180915,1
20183611multiint-0000001,20180916,1
20183011multiint-1111100,20180917,1
20183011multiint-1111100,20180918,1
20183011multiint-1111100,20180919,1
20183011multiint-0001100,20180920,1
20183011multiint-1111100,20180920,1
20183011multiint-0000100,20180921,1
20183011multiint-0001100,20180921,1
20183011multiint-1111100,20180921,1
20183511multiint-0000010,20180922,1
20183611multiint-0000001,20180923,1
20183011multiint-1111100,20180924,1
20183011multiint-1111100,20180925,1
20183011multiint-1111100,20180926,1
20183011multiint-0001100,20180927,1
20183011multiint-1111100,20180927,1
20183011multiint-0000100,20180928,1
20183011multiint-0001100,20180928,1
20183011multiint-1111100,20180928,1
20183511multiint-0000010,20180929,1
20183611multiint-0000001,20180930,1
20183011multiint-1111100,20181001,1
20183011multiint-1111100,20181002,1
20183011multiint-1111100,20181003,1
20183011multiint-0001100,20181004,1
20183011multiint-1111100,20181004,1
20183011multiint-0000100,20181005,1
20183011multiint-0001100,20181005,1
20183011multiint-1111100,20181005,1
20183511multiint-0000010,20181006,1
20183611multiint-0000001,20181007,1
20183512multiint-0000010,20181008,1
20183011multiint-1111100,20181009,1
20183011multiint-1111100,20181010,1
20183011multiint-0001100,20181011,1
