route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
098044,20183611multiint-0000001,58942085-20183611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,80440073,2
098044,20183611multiint-0000001,58942142-20183611multiint-0000001,"Loretteville (Nord)",,0,,80440071,2
098044,20183611multiint-0000001,58942092-20183611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,80440073,2
098044,20183611multiint-0000001,58942145-20183611multiint-0000001,"Loretteville (Nord)",,0,,80440071,2
098044,20183611multiint-0000001,58942082-20183611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,80440073,2
098044,20183611multiint-0000001,58942148-20183611multiint-0000001,"Loretteville (Nord)",,0,,80440071,2
098004,20183611multiint-0000001,58941456-20183611multiint-0000001,"Beauport (Est)",,0,,80040552,1
098004,20183611multiint-0000001,58941538-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040553,1
098004,20183611multiint-0000001,58941466-20183611multiint-0000001,"Beauport (Est)",,0,,80040552,1
098004,20183611multiint-0000001,58941549-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040553,1
098004,20183611multiint-0000001,58941478-20183611multiint-0000001,"Beauport (Est)",,0,,80040552,1
098004,20183611multiint-0000001,58941561-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040553,1
098014,20183611multiint-0000001,58941330-20183611multiint-0000001,"Charlesbourg (Est)",,0,,80140662,1
098024,20183611multiint-0000001,58943167-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943241-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943243-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943242-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943144-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943190-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943218-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943113-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943164-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943231-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943186-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943153-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943166-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943155-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943161-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943191-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943199-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943106-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943236-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943160-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943110-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943115-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943165-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943163-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943104-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943112-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943107-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943118-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943132-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943120-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943210-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098024,20183611multiint-0000001,58943135-20183611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240221,2
098024,20183611multiint-0000001,58943244-20183611multiint-0000001,"Terminus Beauport (Est)",,0,,80240222,2
098014,20183611multiint-0000001,58941296-20183611multiint-0000001,"Charlesbourg (Est)",,0,,80140662,1
098014,20183611multiint-0000001,58941379-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140663,1
098014,20183611multiint-0000001,58941306-20183611multiint-0000001,"Charlesbourg (Est)",,0,,80140662,1
098014,20183611multiint-0000001,58941390-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140663,1
098014,20183611multiint-0000001,58941318-20183611multiint-0000001,"Charlesbourg (Est)",,0,,80140662,1
098014,20183611multiint-0000001,58941402-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140663,1
098014,20183611multiint-0000001,58941331-20183611multiint-0000001,"Charlesbourg (Est)",,0,,80140662,1
098014,20183611multiint-0000001,58941414-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140663,1
098014,20183611multiint-0000001,58941374-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140663,1
098014,20183611multiint-0000001,58941301-20183611multiint-0000001,"Charlesbourg (Est)",,0,,80140662,1
098014,20183611multiint-0000001,58941384-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140663,1
098004,20183611multiint-0000001,58941472-20183611multiint-0000001,"Beauport (Est)",,0,,80040552,1
098004,20183611multiint-0000001,58941555-20183611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040553,1
